trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-105.29510907240115,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-135.58079168466307,"{0: 6, 1: 8, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-160.14730013579825,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",30,21,-29.06045154240923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",20,0,-92.91318941688758,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-75.13235480669975,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",30,0,-104.60419940791125,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-84.44450405747986,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",30,21,-47.83977829149195,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",35,18,-91.11067022797828,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",30,0,-142.08376187849134,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",25,7,4.271469012903342,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",20,4,-36.456707493230326,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",20,0,-11.56917577127586,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",20,0,-109.71164534975274,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",20,0,0.4365287179263714,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",25,0,-93.4360612194979,"{0: 20, 1: 0, 2: 0, 3: 4, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,10,1.8805892301902587,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,0,-22.150488499222043,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",20,15,9.743661752218763,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-20.043788119418323,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,6.574797612912493,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-67.47693372608086,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,6,-11.08649648428666,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,17,12.226665273310404,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,5,-10.28136296669323,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,-18.912498107911503,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-121.4817716524321,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,2,23.227311805010935,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-78.48576009759071,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
