trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-93.45579604668201,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.9999999}",20,0,-90.97762943759281,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.9999997}",20,0,-233.00035628293568,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.6, 'e': 0.9999994000000001}",20,0,-140.97326581021775,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.6, 'e': 0.9999990000000001}",25,0,-235.52406499158707,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 6}",0
6,False,"{'a': 0.6, 'e': 0.9999985000000001}",20,10,-23.02442004581444,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.9999979000000001}",20,0,-131.50337582643817,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9999972000000001}",20,0,-101.15034474650292,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9999964000000001}",25,0,-156.76182037205083,"{0: 10, 1: 6, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9999955000000001}",30,0,-146.56447213897602,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.9999945000000001}",25,0,-181.55587552179108,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.9999934000000001}",35,0,-222.1956106122937,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.9999922000000001}",25,0,-225.62566767610372,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.6, 'e': 0.9999909000000001}",20,0,-79.119804233597,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.9999895000000001}",25,0,-68.37129900411574,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.9999880000000001}",30,0,-177.57591726591374,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.9999864}",25,0,-76.50957165222187,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.9999847000000001}",20,0,-152.93371308188853,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.6, 'e': 0.9999829}",25,0,-107.07548686993917,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.999981}",20,0,-81.97021645475228,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.9999790000000001}",20,0,-38.2762596479296,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.9999769000000001}",20,0,-60.464547189613484,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.9999747000000001}",20,0,-148.36695386965945,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.9999724000000001}",25,0,-83.01279070056844,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.9999700000000001}",20,0,-20.42054546743666,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.9999675000000001}",25,6,-77.82797287052587,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.9999649000000002}",20,0,-135.02512748282572,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
28,False,"{'a': 0.6, 'e': 0.9999622000000001}",20,0,-92.08126549024489,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.9999594000000002}",20,0,-135.74606798639036,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.6, 'e': 0.9999565000000001}",20,0,-94.38069762907512,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.9999535000000002}",25,0,-165.1311383518339,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.6, 'e': 0.9999504000000001}",30,0,-180.57195307404723,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.6, 'e': 0.9999472000000001}",25,0,-131.2007103420175,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
