trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.7}",20,0,-149.48041509100563,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.48999999999999994}",25,0,-106.92194364349785,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.3429999999999999}",30,0,-207.54715332730498,"{0: 15, 1: 1, 2: 10, 3: 2, 4: 2}",1
4,False,"{'a': 0.1, 'e': 0.24009999999999992}",20,0,-98.29986821147546,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.16806999999999994}",25,0,-136.53537561153865,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.11764899999999995}",20,0,-100.96084652530767,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.08235429999999996}",30,0,-102.61268397470207,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.05764800999999997}",20,0,-81.14538505592402,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.04035360699999998}",25,0,-156.97079157207608,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.028247524899999984}",30,0,-204.33091399417975,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.019773267429999988}",20,0,-165.33151343223972,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.01384128720099999}",20,0,-88.69526246707797,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.009688901040699992}",20,0,-45.06174982897518,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.006782230728489994}",20,10,-54.50520928827684,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.004747561509942996}",20,0,-115.16250778479561,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.003323293056960097}",30,12,-27.311542135666517,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.002326305139872068}",25,0,-275.21573719999856,"{0: 7, 1: 4, 2: 10, 3: 0, 4: 4}",0
18,False,"{'a': 0.1, 'e': 0.0016284135979104473}",20,10,-50.62236515690212,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.1, 'e': 0.001139889518537313}",25,0,-186.0952025258441,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.000797922662976119}",20,0,-139.97566185870537,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-160.93851749493632,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-78.78458073846849,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-81.67670763370201,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-116.61002673516526,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-215.63952789875356,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,8,-31.45809261911447,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,-11.779693561976687,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-48.872423365925705,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,2,-16.422760660168116,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,0,-160.80104043517406,"{0: 19, 1: 7, 2: 7, 3: 0, 4: 2}",0
